id,name,address,regionDepth1,regionDepth2,lat,lng,hallType,subTypes_json,mealCost,mealCostMin,mealCostMax,guarantee,guaranteeMin,guaranteeMax,interval,intervalMinutes,venueFee,rentalCostMin,rentalCostMax,phone,website,source_url,source
160,W웨딩 국민연금홀,부산 연제구 연산동 1422-8,,,35.1777543580908,129.075522292353,웨딩홀,[],"43,000~49,000원 (뷔페, 타임별 차등).",43000,49000,기본 150명 (보증+30명 여유분).,30,150,1시간 간격,60,타임·홀별 50만~370만 원 (일요일 오후 3시 에메랄드 260만 원 사례).,50,370,051-668-7979,,https://www.weddic.com/,weddic
161,더S웨딩홀,부산 남구 문현동 383-1,,,35.13925365866159,129.0679103081838,웨딩홀,[],"39,000원 (뷔페).",39000,39000,"최소 150명, 최대 200명.",150,200,30분 단위 번갈아 진행,,30~40만원대 (리모델링 후 가성비 강점).,30,40,051-711-0777,http://www.thescv.kr,https://www.weddic.com/,weddic
162,다비다웨딩홀,부산 연제구 연산동 844-14,,,35.1751741647072,129.080101439739,웨딩홀,[],"뷔페 1인 47,000원(음주류 포함).",47000,47000,"최소 보증인원 150명, 최대 수용 인원 약 800명(연회장 리모델링 후 1,000석까지 수용 가능하다는 후기).",150,800,정보 준비중,,"“대관료 저렴한 가성비 홀”로 언급되나, 정확한 대관료 수치는 온라인에 구체적인 정보 부족.",,,051-852-8001,https://blog.naver.com/dabidaweddinghall,https://www.weddic.com/,weddic
163,빌라드알티오라,대전 서구 한밭대로 809,,,36.35823157327139,127.3886552429842,웨딩홀,[],"52,000원(뷔페).",52000,52000,"[정가] 16,000,000원~(200명 이상 보증 시 적용).",150,150,예식시간 1시간전부터 예식포함 총3시간,180,"대관료 공무원 혜택 무료, 적은 보증인원으로 대관료 없이 진행 가능",16000000,16000000,042-478-6600,http://villadea.co.kr,https://www.weddic.com/,weddic
164,디엘웨딩홀,부산 동구 범일동 830-140,,,35.139064870541,129.06376197696,웨딩홀,[],"뷔페 1인 45,000원.",45000,45000,"최소 150명, 최대 300명(홀별 수용 인원 동일).",150,300,정보 준비중,,"마이아홀 2,500,000원(후기 기준), 아모르홀도 유사 수준으로 언급되나, 공식 최신 요금표는 구체적인 정보 부족.",2500000,,051-638-6100,http://www.dielwedding.com/,https://www.weddic.com/,weddic
165,그랜드블랑,부산 해운대구 우동 1515,,,35.16647180498892,129.132062586536,웨딩홀,[],"39,000~46,000원(뷔페 기준, 패키지 상품에 따라 상이).",39000,46000,최소 150명(미라벨가든 200명 등 홀별 상이).,150,200,30분 간격,,"300만 원 이하 ~ 350만 원(홀·패키지별, 미라벨가든 600만 원 패키지 사례).",300,350,051-743-3733,https://www.instagram.com/grandblanc_wedding,https://www.weddic.com/,weddic
166,W웨딩 마리나컨벤션웨딩홀,부산 해운대구 우동 1434-1,,,35.1580617626394,129.148307821043,컨벤션 웨딩홀,[],"1인 48,000~49,000원(뷔페 기준).",48000,49000,"최소 150명, 최대 600명 수용.",150,600,정보 준비중,,"비수기·성수기·타임에 따라 상이, 온라인에 구체적인 최신 수치는 없어 구체적인 정보 부족.",,,051-746-5112,https://www.instagram.com/w_marina_wedding/,https://www.weddic.com/,weddic
167,이리스웨딩앤뷔페,부산 부산진구 부전동 522,,,35.1529484662347,129.057283438758,웨딩홀,[],1인당 현금가 37000원 / 카드 38000원 (음주류 포함),37000,38000,"800,000원 (정가 7,100,000원, 200명 이상 보증 시 적용).",150,150,1시간30분 (11시식만 1시간),90,"800,000원 (정가 7,100,000원, 200명 이상 보증 시 적용).",800000,7100000,051-816-3400,,https://www.weddic.com/,weddic
168,라미컨벤션웨딩,대전 유성구 봉명로 27-27,,,36.3430218205649,127.343872026378,컨벤션 웨딩홀,[],구체적 수치 미공개(상담 필요).,49000,49000,30인~150인(예식 1주 전 확정 가능).,150,150,300분,300,"파티 기본 400,000원(주중 2시간), 500,000원(주말), 연장 1시간당 100,000원(다과·연회 별도).",400000,500000,042-368-8912,http://www.lamiconvention.com,https://www.weddic.com/,weddic
169,씨엘드레브,대전 서구 계룡로314번길 8,,,36.3533468924046,127.362968177073,야외 웨딩홀,[],구체적인 정보 부족.,,,구체적인 정보 부족.,,,정보 준비중,,"2026년 4월 첫 예식 잔여 타임 기준으로 홀대관료·식대 정보 실시간 확인 가능하나, 현재 공식 수치 미공개로 구체적인 정보 부족.",6,202,,https://cieldereve.com,https://www.weddic.com/,weddic
170,휴심정,광주 광산구 임방울대로 611-23,,,35.21206582405453,126.8251879396593,웨딩홀,[],정보 준비중,,,정보 준비중,,,정보 준비중,,,,,,https://www.instagram.com/hyusimjeong_official/,https://www.weddic.com/,weddic
171,W웨딩 벡스코지점,부산 해운대구 우동 1500,,,35.16898974768179,129.1360428910478,웨딩홀,[],"1인 50,000원.",50000,50000,"최소 150명, 최대 300명.",150,300,1시간 간격,60,"대관만 원하시면 3시, 5시 선택",,,051-740-8888,https://www.instagram.com/w_bexcowedding/,https://www.weddic.com/,weddic
172,W웨딩K웨딩홀,부산 연제구 거제동 76-2,,,35.19579258041436,129.0794722341784,웨딩홀,[],구체적인 정보 부족.,,,구체적인 정보 부족.,303,303,정보 준비중,,구체적인 정보 부족.,,,051-555-9779,https://www.instagram.com/k_wedding_hall/,https://www.weddic.com/,weddic
173,W웨딩 더펄웨딩홀,부산 부산진구 범천동 853-1,,,35.14799215354692,129.0624711417797,웨딩홀,[],"1인 28,000~30,000원대(뷔페, 웨딩크라우드 2만~3만 구간 표기).",28000,30000,"최소 보증인원 150명, 최대 수용 인원 300명(좌석 180석, 스탠딩 포함 시 확장).",150,300,60분,60,"비교적 저렴한 대관료로 언급되나, 구체적인 최신 수치는 온라인에 구체적인 정보 부족.",,,051-636-6366,https://www.instagram.com/thepearlweddinghall/,https://www.weddic.com/,weddic
174,팔레드시즈 웨딩홀,부산 해운대구 중동 1124-2,,,35.1600322763022,129.166583765027,웨딩홀,[],"뷔페 1인 43,000원~ (더파티 프리미엄 뷔페 기준).",43000,43000,"최소 보증인원 100명, 최대 수용 인원 200명(좌석 120석 기준, 150명 정도가 적정 규모라는 후기).",100,200,1시간 30분 간격,90,"500,000~1,500,000원(플래너 견적 공유 기준 50~150만 원, 시즌·타임에 따라 상이).",500000,1500000,051-744-7722,https://www.instagram.com/paledecz_w_wedding/,https://www.weddic.com/,weddic
175,빌라드파티앤,대전 유성구 대덕대로837번길 31,,,36.4038096127111,127.375554698814,웨딩홀,[],구체적 수치 미공개(상담 필요).,,,스몰웨딩 컨셉으로 50~150명 수준 추정이나 명시적 숫자 구체적 정보 부족.,150,150,정보 준비중,,최초 견적 대비 135% 수준,135,,010-5034-9322,https://www.instagram.com/villa_de_partyann/,https://www.weddic.com/,weddic
176,쌍청웨딩홀,대전 동구 동부로33번길 46-31,,,36.3216601551797,127.455016003049,한옥 웨딩홀,[],"뷔페 45,000원.",45000,45000,"1,500,000원~7,000,000원~(200명 이상 보증 시 적용).",100,100,30분 단위,,"1,500,000원~7,000,000원~(200명 이상 보증 시 적용).",1500000,7000000,042-255-8408,http://쌍청웨딩홀.aup.kr/index.php,https://www.weddic.com/,weddic
177,마마키친,대전 유성구 관용로31번길 37,,,36.41736537095798,127.3816754728285,웨딩홀,[],구체적인 수치 미공개(상담 필요).,,,20명 이상.,20,20,정보 준비중,,구체적인 수치 미공개(상담 필요).,,,010-8805-0507,https://www.instagram.com/soopmama,https://www.weddic.com/,weddic
178,롯데갤러리움웨딩홀,부산 부산진구 양정동 273-1,,,35.1758610936795,129.072835658398,복합 웨딩홀,[],"뷔페 1인 37,000~39,000원.",37000,39000,"최소 150명, 최대 320명.",150,320,분리예식,,"2,000,000원대 수준으로 언급되나, 정확 타임별·시즌별 수치는 온라인 상 구체적인 정보 부족.",2000000,,051-852-4070,,https://www.weddic.com/,weddic
179,사학연금S웨딩홀,부산 부산진구 범천동 877-2,,,35.1462976946701,129.058779259805,웨딩홀,[],"1인 40,000원(아이웨딩 기준) 또는 1인 44,000원(웨딩북 정가 표기)로 안내되어, 실제 적용 단가는 계약·프로모션에 따라 선택되는 구조입니다.",40000,40000,"홀사용료 2,350,000원(웨딩크라우드 기준), 웨딩북에서는 대관료 1,600,000원·정가 8,200,000원(200명 이상 보증 시 혜택 적용)으로 표기되어 있어, 패키지/채널에 따라 상이합니다.",150,400,정보 준비중,,"홀사용료 2,350,000원(웨딩크라우드 기준), 웨딩북에서는 대관료 1,600,000원·정가 8,200,000원(200명 이상 보증 시 혜택 적용)으로 표기되어 있어, 패키지/채널에 따라 상이합니다.",2350000,8200000,051-642-4441,http://www.s-wedding.kr,https://www.weddic.com/,weddic
180,비브레스가든,대전 유성구 성북로 429,,,36.3141140061295,127.284845306089,야외 웨딩홀,[],"정찰제 운영(정확한 1인 식대 수치 미공개, 케이터링 직영으로 합리적 비용 강조).",,,300명 이상 수용 가능(스몰웨딩부터 대규모 모두 가능).,300,300,정보 준비중,,플라워+식사+장소 직영으로 합리적 비용이나 구체적 대관료 수치 미공개(상담 필수).,,,0502-5551-6363,https://www.instagram.com/b.breath_garden,https://www.weddic.com/,weddic
181,센텀프리미어호텔 웨딩홀,부산 해운대구 우동 1521,,,35.16681620385206,129.1316951689941,호텔 웨딩홀,[],"뷔페 1인 47,000원(음주류 별도).",47000,47000,"성수기 200만 원 이상, 리모델링 이벤트·조건 충족 시 150명 보증 기준 무료 대관 안내 사례 있으나, 최신 세부 견적은 비공개로 구체적인 정보 부족.",150,150,1시간 30분 간격,90,"성수기 200만 원 이상, 리모델링 이벤트·조건 충족 시 150명 보증 기준 무료 대관 안내 사례 있으나, 최신 세부 견적은 비공개로 구체적인 정보 부족.",150,200,051-742-7722,https://blog.naver.com/premier7722,https://www.weddic.com/,weddic
182,메리스퀘어 웨딩,대전 유성구 계룡로141번길 21,,,36.3535199851518,127.345932452357,웨딩홀,[],"1인 30,000원대 후반~40,000원대 초반으로 안내된 후기만 있고, 최근 연도 기준 정확한 식대 구간은 구체적인 정보 부족.",30000,40000,"약 100~200명대 소규모·중형 예식에 적합한 단독홀로, 최소·정확 보증인원 수치(예: 120명·150명 등)는 구체적인 정보 부족.",120,200,정보 준비중,,"레전드호텔 단독홀 대관 형태지만, 최근 기준 대관료·홀 사용료에 대한 금액 정보는 온라인에 구체적인 정보 부족.",7000000,,042-229-8011,http://www.merrysquare.co.kr/,https://www.weddic.com/,weddic
183,더리스,대전 동구 냉천로 30,,,36.3861904048117,127.48367545099,야외 웨딩홀,[],"60,000원 초반~중반 (성인 음주 포함, 샐러드바+코스).",60000,60000,150명부터.,150,150,정보 준비중,,"2,000,000원.",2000000,,042-283-9922,https://les.josunhotel.com/main.do,https://www.weddic.com/,weddic
184,부산관광호텔 웨딩홀,부산 중구 동광동2가 12-1,,,35.1005449471406,129.034583024403,호텔 웨딩홀,[],"1인 50,000원대 뷔페(후기·정리 글 기준, 정확 단가 표기는 구체적인 정보 부족).",50000,50000,최소 200명(부산 웨딩홀 식대·조건 정리글 및 투어 후기에서 공통 언급).,200,200,동시예식 가능 (하객 섞임 없음),,"구체적인 수치 공개는 없으며, ‘대관료 저렴한 편’ 정도만 언급되어 구체적인 정보 부족.",,,051-257-3002,http://centumvictoriahotel.co.kr,https://www.weddic.com/,weddic
185,그레이스케이 오션빌리지,부산 기장군 일광읍 이천리 164,,,35.2721984803136,129.247733703625,야외 웨딩홀,[],"1인 60,000원 이상 (출장 뷔페, 주류 별도).",60000,60000,최소 100명.,100,100,3시간 기준,180,기장점 대비 2~3배 높음,,,051-723-1356,,https://www.weddic.com/,weddic
186,목장원 오필로스가든,부산 영도구 동삼동 628-2,,,35.07161112495029,129.057370179381,야외 웨딩홀,[],"45,000원.",45000,45000,"최소 보증 인원 130명, 최대 수용 인원 300명",130,300,정보 준비중,,250만 원 (음향·조화 플라워·포토테이블 포함).,250,,,,https://www.weddic.com/,weddic
187,뉴축복웨딩홀,부산 동구 범일동 830-199,,,35.1393952456955,129.062142289976,웨딩홀,[],구체적인 정보 부족.,20000,20000,150명 이상 식사 필수,150,150,정보 준비중,,"과거 축복웨딩홀 기준 “대관료 800,000원 + 연출비 50,000원” 기록이 있으나, 현재 뉴축복웨딩홀 적용 여부는 구체적인 정보 부족.",,800000,051-643-2300,,https://www.weddic.com/,weddic
188,시크릿가든웨딩홀,광주 광산구 풍영정길 227-1,,,35.1872818181815,126.854896345462,야외 웨딩홀,[],"더플래너 기준 1인 52,000원(뷔페).",52000,52000,150~300명(스몰~중대형 예식까지 가능).,300,300,오전/오후/저녁 예식 가능,,"1층(우천 시 대비 실내홀) 대관료 1,200,000원",1,1200000,,https://www.threads.com/@secretgarden_official,https://www.weddic.com/,weddic
189,병천사,광주 서구 금호운천길 31,,,35.137802766857,126.856502822218,한옥 웨딩홀,[],"구체적 수치 미공개(상담 필요), 뷔페·한정식·케이터링 선택 가능",,,"스몰웨딩 최대 100~150명 내외(야외 마당 규모, 50~100명 중심 후기 다수).",100,150,하루 한팀,,구체적 수치 미공개(상담 필요).,,,062-374-6683,,https://www.weddic.com/,weddic
190,호메르스호텔웨딩홀,부산 수영구 광안동 193-1,,,35.1535195512845,129.118045327059,호텔 웨딩홀,[],"1인 52,000원(뷔페 기준, 카드·현금 동일가 안내 사례도 있음).",52000,52000,"기본 150명(웨딩크라우드 기준 100~200명 구간, 스몰웨딩 조건으로 최소 30명 상품도 별도 운영).",30,200,2시간,120,"800,000원(웨딩북 기준, 프로모션 시 150만→20~40만 특가 진행 이력).",800000,800000,051-750-8030,,https://www.weddic.com/,weddic
191,한화리조트 해운대 웨딩홀,부산 해운대구 우동 1410-3,,,35.15442268967342,129.144966486654,웨딩홀,[],웨딩 전용 뷔페(블루시걸) 1인 식대 금액은 온라인에 명시된 정확한 수치가 없어 구체적인 정보 부족.,,,웨딩홀별 최소 보증 인원(예: 몇 명부터 계약 가능)과 최대 수용 인원에 대한 명시적 숫자는 구체적인 정보 부족.,,,90분 간격,90,예식 대관료(홀 사용료) 정가 금액 및 패키지 구성(꽃장식 포함 여부 등)은 공개 자료에 세부 금액이 없어 구체적인 정보 부족.,,,051-749-5221,https://www.instagram.com/hanwhawedding?igsh=cWNsMjBybHloem1i&utm_source=qr,https://www.weddic.com/,weddic
192,루모스가든,부산 기장군 기장읍 연화리 431,,,35.2086104668008,129.222754178164,야외 웨딩홀,[],"뷔페 1인 미공개, 코스 30명 이상 1인 미공개.",,,"최소 70명 (70명 미만 가능), 최대 400명.",70,400,정보 준비중,,"대관료 포함 패키지, 구체적인 수치 미공개.",,,051-722-0727,https://www.instagram.com/lumosgarden_wedding,https://www.weddic.com/,weddic
193,파티더풀문,부산 기장군 기장읍 시랑리 725,,,35.1877057845289,129.21239658148,웨딩홀,[],"코스 85,000원 (대인기준).",85000,85000,"[정가] 12,800,000원~ (200명 이상 보증 시).",100,100,300분,300,"[정가] 12,800,000원~ (200명 이상 보증 시).",12800000,12800000,010-4115-8515,http://www.party-thefullmoon.com,https://www.weddic.com/,weddic
194,메리인가든,광주 북구 빛고을대로 460,,,35.20291001046,126.866315656771,채플 웨딩홀,[],"블로그·인스타에 구체 단가는 미공개, 돌잔치·스몰웨딩·기업행사 맞춤 케이터링 구조로 인원·메뉴에 따라 견적제(문의 필수).",,,"최대 80인 이상 수용 가능(돌잔치 기준 80인 이상도 무리 없이 진행, 스몰웨딩·2부 웨딩도 이 범위 내).",80,80,정보 준비중,,"공식 요금표 비공개, “단독 대관·맞춤형 행사” 컨셉이라 행사 성격·시간·인원에 따라 대관료+식비 패키지로 별도 견적.",7000000,7500000,0507-1411-9900,https://blog.naver.com/ssuminj,https://www.weddic.com/,weddic
195,아젠토피오레컨벤션,제주특별자치도 제주시 서광로 112,,,33.49963710137281,126.5083939082617,컨벤션 웨딩홀,[],"한식 뷔페 1인 38,500원(부가세 별도), 주류 6,000원, 음료 3,000원, 생수 서비스.",38500,38500,"2024년 토요일 점심 예식(최소 보증 200명 기준) 안내에서 웨딩 대관료 1,500,000원(부가세 별도, 원판사진 포함)으로 소개.",350,500,40분 간격,40,"2024년 토요일 점심 예식(최소 보증 200명 기준) 안내에서 웨딩 대관료 1,500,000원(부가세 별도, 원판사진 포함)으로 소개.",4,202,064-743-8393,http://argentofiore.co.kr,https://www.weddic.com/,weddic
196,제주오리엔탈호텔,제주특별자치도 제주시 탑동로 47,,,33.51758741349701,126.5197976897153,호텔 웨딩홀,[],구체적인 1인 식대 금액 정보 부족(호텔 연회·웨딩 메뉴 제공만 안내).,,,"일출홀(대연회장) 기준 210~300명 수용 가능, 최소 보증 인원에 대한 정확한 수치 정보는 부족.",300,300,정보 준비중,,웨딩·연회 대관료 구체 금액 공개 정보 부족(박람회·상담을 통한 개별 견적 구조).,,,064-752-8222,http://www.oriental.co.kr/,https://www.weddic.com/,weddic
197,캠퍼트리 호텔앤리조트,제주특별자치도 제주시 해안마을서4길 100,,,33.4530268599999,126.448882443633,호텔 웨딩홀,[],"코스·BBQ 뷔페 등 메뉴 타입에 따라 상이, 구체적인 1인 식대 금액은 온라인 공개 정보 부족.",,,"30명 규모 스몰웨딩부터 1000명 규모 대형 가든 웨딩까지 수용 가능, 실내 연회 기준으로는 250~350명 보증으로 상담하는 사례가 있음(정확한 최소 보증 수치 정보는 부족).",30,1000,동시예식 (탐라홀 예식 후 레스토랑 더 뷰로 식사 이동),,"250명 보증 시 대관료 전액 부과, 350명 보증 시 대관료 인하, 400~500명 이상부터는 대관료 없이 진행 가능하다는 후기(정확한 금액 단위는 공개 정보 부족).",250,350,064-795-8888,https://camphortree.co.kr/,https://www.weddic.com/,weddic
198,해암웨딩홀,부산 연제구 연산동 1242-8,,,35.1858746398851,129.080826435943,웨딩홀,[],"현금가 23,000원(술,음료포함)",23000,23000,“적은 보증인원으로도 예식 진행 가능(100명~150명)” 문구 안내.,100,100,1시간 간격,60,"토요일20만원 / 일요일30만원, 100명 보증시 무료",200000,300000,051-867-7600,,https://www.weddic.com/,weddic
199,르네상스웨딩홀,부산 사상구 괘법동 559-6,,,35.1616570118301,128.982965466379,호텔 웨딩홀,[],"20,000원~30,000원(뷔페).",20000,30000,골드홀 기준 보증인원 100명(전체 안내 100~200명).,100,200,1시간30분,90,"골드홀 홀사용료 2,000,000원(실버홀은 페이지 내 금액 표기 일부 노출이나, 정가 전체 구조는 구체적인 정보 부족).",2000000,2000000,051-325-3939,https://youtube.com/channel/UC0dEPDQPQMdp08YgF94ji4A?si=hujMEQAN4S5BGkRb,https://www.weddic.com/,weddic
200,라스코스웨딩홀,부산 수영구 민락동 177-1,,,35.1556531222688,129.122595022345,웨딩홀,[],"4층 260석 / 5층 220석, 1인 27,500원(카드·현금 동일, 음주류 별도).",27500,27500,"아이티웨딩 기준 지불 보증 인원 100 ~ 150명, 좌석수 100 ~ 150석으로 안내(라스코스 웨딩홀 단독홀 기준 스몰~중규모 예식에 적합).",150,150,분리예식,,,,,,,https://www.weddic.com/,weddic
201,그린나래호텔 웨딩홀&뷔페,부산 해운대구 우동 650-1,,,35.1589502271585,129.156929600866,호텔 웨딩홀,[],"뷔페 1인 52,000원(아이웨딩 기준, VAT 포함 여부 구체적인 정보 부족).",52000,52000,"최소 보증 인원 150명, 최대 수용 인원 530명.",150,530,1시간 간격,60,대여비가 진짜! 저렴한,,,051-743-6996,https://blog.naver.com/monowfnb,https://www.weddic.com/,weddic
202,신라스테이 서부산 웨딩컨벤션,부산 강서구 명지동 3595-1,,,35.0967267647777,128.905219216607,컨벤션 웨딩홀,[],구체적인 수치 미공개(호텔 다이닝 수준 코스·뷔페 운영으로 추정).,80000,80000,"볼룸홀 150명, 3층 160명, 1층 160명(하객 150명 초과 시 1·3층 추가 대관).",150,160,"1타임 11:00~13:30, 2타임 15:30~18:00",150,"연회장 기준 Daytime 1,100,000원, All Day 2,750,000원(웨딩 전용 패키지 가격은 플래너 상담 기준).",1100000,2750000,,,https://www.weddic.com/,weddic
203,아디웨딩,부산 금정구 선동 952,,,35.2654288740678,129.102665241094,웨딩홀,[],"뷔페 1인 45,000~50,000원.",45000,50000,최소 보증인원 없음 (50명 기준).,50,50,정보 준비중,,"190만 원 (50명 기준, 홀사용료+꽃장식+테이블세팅+플래닝 포함).",190,190,010-8605-1284,https://adihall.my.canva.site/,https://www.weddic.com/,weddic
204,코모도호텔예식장,부산 중구 영주동 742-13,,,35.1092203117216,129.035509337769,호텔 웨딩홀,[],"1인 58,000원~(아이웨딩 기준), 호텔 자체 안내에서는 “양식코스·뷔페 1인 63,000원부터” 문구.",58000,58000,"보증 인원 200명, 예식 인원 기준 350명(최대 340~400명 수용 안내).",200,400,오전 1팀 오후 1팀,180,,,,,,https://www.weddic.com/,weddic
205,호텔시리우스,제주특별자치도 제주시 도령로 133,,,33.49340275770646,126.4910162219241,호텔 웨딩홀,[],"구체적인 수치 미공개(뷔페식 제공, 예식 중 시연 음식 후기에서 종류 적절하고 손 가는 메뉴 구성이라는 평가).",,,지하1층 홀 기준 150~200명 내외(500~600명 예상 시 1층 레스토랑 동시 오픈으로 하객 분산 가능).,200,600,정보 준비중,,구체적인 수치 미공개.,,,064-743-1147,http://hotelsirius.co.kr,https://www.weddic.com/,weddic
206,호텔난타,제주특별자치도 제주시 선돌목동길 56-26,,,33.4458269894688,126.547910794578,호텔 웨딩홀,[],"식대는 1인 기준 고정 단가로 운영되며 합리적인 수준이라는 후기만 있고, 정확한 금액 수치는 온라인에 공개된 정보 부족.",,,"최소 보증인원 300명(1·2층 중 한 층 사용), 보증 400명 정도부터 1·2층 동시 사용 가능.",300,400,1일 1예식,,"예식 대관료 없음(대관료 무료), 꽃장식비도 별도 청구 없이 포함 구조로 안내.",,,064-727-0602,http://www.hotelnanta.com/kr/,https://www.weddic.com/,weddic
207,디아모 송정점,부산 해운대구 송정동 297-9,,,35.1810255028678,129.203118716614,웨딩홀,[],구체적인 정보 부족.,55000,55000,"6,500,000원~ (200명 이상 보증 시 적용, 조화+버진로드 기본 세팅 포함 100만 원 미만 후기).",200,200,정보 준비중,,"6,500,000원~ (200명 이상 보증 시 적용, 조화+버진로드 기본 세팅 포함 100만 원 미만 후기).",6500000,6500000,051-702-7755,https://booking.naver.com/,https://www.weddic.com/,weddic
208,다인오세아노호텔,제주특별자치도 제주시 애월읍 애월해안로 394,,,33.4724871676714,126.3504708281553,호텔 웨딩홀,[],식대 단가에 대한 구체적인 숫자 정보 부족(하객 수·예식 형태에 따라 견적이 달라지는 구조).,,,"50명 규모 스몰웨딩부터 일반예식까지 가능, 최소 보증 인원에 대한 구체적인 수치 정보 부족.",50,50,하루에 한 팀만 웨딩,,루프탑 웨딩·실내홀·연회장 사용에 대한 구체적인 대관료 숫자 정보 부족(상담·견적 기반).,,,1811-0012,http://www.dyneoceano.com/,https://www.weddic.com/,weddic
209,제주썬호텔&카지노,제주특별자치도 제주시 삼무로 67,,,33.4901264500463,126.493896544314,호텔 웨딩홀,[],"뷔페 식대 1인 48,000원, 하객 350명 이상일 경우 1인 45,000원 수준으로 안내(블로거 기억 기준, 정확 금액 변동 가능).",45000,48000,최소 보증 300명 기준으로 상담·계약 진행되는 케이스가 소개됨.,300,300,정보 준비중,,"200명 이상 시 웨딩홀 무료 대관, 각종 장비 제공(음향·조명 등 연회장 기본 장비 포함).",200,,064-741-8000,http://www.jejusunresort.com,https://www.weddic.com/,weddic
210,골든웨딩타운,부산 금정구 부곡동 225-58,,,35.2373239410659,129.089565144697,웨딩홀,[],구체적인 정보 부족.,,,구체적인 정보 부족.,,,정보 준비중,,구체적인 정보 부족.,,,051-582-7300,http://goldenwedding.itrocks.kr/,https://www.weddic.com/,weddic
211,이호MH컨벤션,제주특별자치도 제주시 현사길 31-2,,,33.4968006590345,126.448010154937,컨벤션 웨딩홀,[],구체적인 수치 미공개.,,,200명 이상 대규모 연회 가능.,200,200,정보 준비중,,구체적인 수치 미공개.,,,0503-7151-1786,,https://www.weddic.com/,weddic
212,마레벨라웨딩 송도,인천 연수구 국제항만대로326번길 57,,,37.4237450546415,126.605294993759,웨딩홀,[],"1인 90,000원(정가 기준, 연출료·음주류·부가세·봉사료 포함).",90000,90000,"예식 정보에 “200석 뷔페/분리 1000대” 표기(좌석 기준 200석, 최소 보증·최대 수용 인원에 대한 세부 수치는 구체적인 정보 부족).",200,200,정보 준비중,,"정가 기준 8,000,000원(홀·연출료 포함), 추가로 2,000,000원 항목이 함께 표기되어 총 패키지(연출료·음주류·부가세·봉사료 포함) 구성으로 안내되나, 각 항목 분리 기준은 구체적인 정보 부족.",8000000,8000000,032-716-9777,http://www.marebella.co.kr,https://www.weddic.com/,weddic
213,글로스터호텔 인천,인천 남동구 소래역로 36,,,37.4003121425996,126.735461709347,호텔 웨딩홀,[],"예식 금액 500만원~(생화 꽃장식 포함), 정가 총액 12,700,000원~(대관료+식대 패키지).",60000,60000,200명 이상 보증 시 정가 적용(최소 보증 수치 구체적인 정보 부족).,200,200,정보 준비중,,"예식 금액 500만원~(생화 꽃장식 포함), 정가 총액 12,700,000원~(대관료+식대 패키지).",,,032-460-1100,https://gloucester-incheon.wywh.co.kr,https://www.weddic.com/,weddic
214,엘마리노 앳 인천,인천 중구 서해대로 227,,,37.44889360917081,126.6222536999064,웨딩홀,[],"스마트웨딩 프로모션 기준 예식 금액 9,500,000원~(생화 꽃장식 포함), 웨딩북 정가 기준 총액 38,000,000원~(200명 이상 보증 시, 대관료+식대 등 패키지 성격의 총 금액).",85000,85000,"스마트웨딩 프로모션 기준 예식 금액 9,500,000원~(생화 꽃장식 포함), 웨딩북 정가 기준 총액 38,000,000원~(200명 이상 보증 시, 대관료+식대 등 패키지 성격의 총 금액).",200,200,70분,70,"스마트웨딩 프로모션 기준 예식 금액 9,500,000원~(생화 꽃장식 포함), 웨딩북 정가 기준 총액 38,000,000원~(200명 이상 보증 시, 대관료+식대 등 패키지 성격의 총 금액).",,,032-713-4488,http://www.elmarino.co.kr,https://www.weddic.com/,weddic
215,오크우드프리미어 인천 웨딩,인천 연수구 컨벤시아대로 165,,,37.3892217823268,126.644197140211,호텔 웨딩홀,[],"식사비용 1인 90,000원~200,000원(5종류 메뉴, 부가세·봉사료 포함 금액으로 표기).",90000,200000,웨딩 기준 수용 인원 100명 표기(프리미어 룸 기준 최대 200명까지 연회 수용 가능).,100,200,"토요일 하루 한 팀, 예식간격 180분",180,"홀 대관료 1,000,000원(견적 정가 기준, 예식 일정·프로모션에 따라 변동 가능).",1000000,7000000,032-726-2220,https://oakwoodpremier.co.kr/front/ko/opi/banquet/familyevent,https://www.weddic.com/,weddic
216,글로우웨딩 북구점,울산 북구 매산1로 17,,,35.6349591802556,129.355750756971,웨딩홀,[],더파티뷔페 (50가지 이상 구성),37000,39000,보증인원 부담 없이 10명부터 최대 130명 수용 가능.,10,130,3시간,180,구체적인 정보 부족.,,,,https://open.kakao.com/o/svLJKVBh,https://www.weddic.com/,weddic
217,노팅힐웨딩컨벤션2,제주특별자치도 제주시 애월읍 하귀2리 1763-1,,,33.4813337466075,126.400432427148,컨벤션 웨딩홀,[],"구체적인 금액 정보 부족(뷔페식 제공, 전복 등 특수 메뉴는 추가금 발생 구조).",27000,32000,"구체적인 최소 보증인원 수치 정보 부족(피로연장 340석, 최대 500명 이상 수용 가능 언급).",340,500,정보 준비중,,"대관료는 식대와 별도 청구, 구체적인 수치 정보 부족.",,,064-711-8288,,https://www.weddic.com/,weddic
218,오션스위츠 제주호텔,제주특별자치도 제주시 탑동해안로 74,,,33.51814920658691,126.5230915223032,호텔 웨딩홀,[],구체적인 수치 미공개.,44000,44000,구체적인 수치 미공개.,250,,하루종일 대관 가능,,구체적인 수치 미공개(상대적으로 합리적 수준).,550000,,1577-9766,https://www.instagram.com/oceansuites_jeju,https://www.weddic.com/,weddic
